Date,PX_LAST,PX_VOLUME
6/18/2018,34.2778,22906545
6/19/2018,34.3347,17537628
6/20/2018,34.5622,20260245
6/21/2018,34.4105,16027644
6/22/2018,34.6096,26613610
6/25/2018,34.4864,19378054
6/26/2018,34.4864,24131903
6/27/2018,34.3252,27890386
6/28/2018,34.4674,15660460
6/29/2018,34.3916,19934906
7/2/2018,34.439,13810581
7/3/2018,34.4579,9115864
7/5/2018,34.9509,19346445
7/6/2018,35.1784,22547897
7/9/2018,35.2258,21185382
7/10/2018,35.4817,19216190
7/11/2018,35.2732,16883598
7/12/2018,35.567,16105203
7/13/2018,35.5765,14456705
7/16/2018,35.4343,16972210
7/17/2018,35.6903,14933586
7/18/2018,35.6997,19737628
7/19/2018,35.4154,15746527
7/20/2018,35.3869,14793271
7/23/2018,35.2732,19784700
7/24/2018,35.7377,16892601
7/25/2018,36.0126,16266376
7/26/2018,36.1737,23567896
7/27/2018,36.4107,21018251
7/30/2018,36.5813,20855309
7/31/2018,37.8516,48232784
8/1/2018,38.1739,31057499
8/2/2018,37.5862,30246188
8/3/2018,38.4298,25966165
8/6/2018,38.9038,26071725
8/7/2018,38.7142,17958832
8/8/2018,39.2546,24513719
8/9/2018,38.8659,19090378
8/10/2018,38.7995,17261979
8/13/2018,38.6858,18843100
8/14/2018,38.591,16448577
8/15/2018,39.0176,21279365
8/16/2018,39.264,15614269
8/17/2018,39.8992,24583231
8/20/2018,40.1267,21367175
8/21/2018,39.9655,17678607
8/22/2018,39.8802,14233143
8/23/2018,40.0034,19954610
8/24/2018,40.193,20552243
8/27/2018,39.4157,23231398
8/28/2018,39.3399,18854039
8/29/2018,39.3399,14976323
8/30/2018,39.3399,15194858
8/31/2018,39.3588,19908467
9/4/2018,39.2166,14492231
9/5/2018,39.6716,20702043
9/6/2018,39.6053,17416277
9/7/2018,40.0034,20134401
9/10/2018,39.8707,20381623
9/11/2018,40.1077,18651629
9/12/2018,40.2025,16611205
9/13/2018,40.6196,17709787
9/14/2018,40.7239,15939852
9/17/2018,40.7713,16038234
9/18/2018,41.2452,19416509
9/19/2018,41.0083,22564634
9/20/2018,41.4728,17476185
9/21/2018,41.7666,35192233
9/24/2018,41.6434,17163134
9/25/2018,41.5107,14533656
9/26/2018,41.4064,17442871
9/27/2018,41.6149,14124737
9/28/2018,41.7761,14662793
10/1/2018,41.9657,16008053
10/2/2018,41.9183,17236862
10/3/2018,42.4776,22730183
10/4/2018,42.3733,17989207
10/5/2018,42.5724,17184608
10/8/2018,42.9231,23415164
10/9/2018,43.1032,20386178
10/10/2018,42.1932,32017319
10/11/2018,40.5817,42029578
10/12/2018,41.5012,28858723
10/15/2018,40.8755,22773043
10/16/2018,41.6434,21208405
